regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000149,St Mary Cray South,msoa,12/10/2022,79,75.5,58.7
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000150,Eden Park & Bethlem,msoa,12/10/2022,83.8,81,66.1
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000151,Petts Wood,msoa,12/10/2022,89.5,87.5,75.7
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000152,Bromley Common,msoa,12/10/2022,77.1,73.5,56.5
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000153,Hayes North,msoa,12/10/2022,87.3,85,71.2
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000154,Orpington West,msoa,12/10/2022,83.3,80.8,66.8
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000155,Orpington East,msoa,12/10/2022,83.9,81,68.2
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000156,West Wickham,msoa,12/10/2022,87.6,85.5,72.4
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000157,Crofton,msoa,12/10/2022,89.1,87.1,75.1
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000158,Goddington,msoa,12/10/2022,81.7,78.4,63.6
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000159,Keston,msoa,12/10/2022,86.6,84.6,70.2
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000160,Hayes South & Coney Hall,msoa,12/10/2022,86.1,83.8,68.9
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000161,Orpington South,msoa,12/10/2022,88.2,86.2,73.3
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000162,Farnborough,msoa,12/10/2022,86,83.3,69.8
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000163,Chelsfield & Green Street Green,msoa,12/10/2022,87.6,85.2,73
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000165,Biggin Hill West,msoa,12/10/2022,84.7,81.9,65.5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000166,Highgate West,msoa,12/10/2022,73.2,69.5,55.8
E12000007,London,E09000007,Camden,E09000007,Camden,E02000167,Hampstead Town,msoa,12/10/2022,74.5,71,59.4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000168,Tufnell Park West,msoa,12/10/2022,74.2,70.6,57.7
E12000007,London,E09000007,Camden,E09000007,Camden,E02000169,Frognal,msoa,12/10/2022,71.8,67.6,54
E12000007,London,E09000007,Camden,E09000007,Camden,E02000170,Fortune Green,msoa,12/10/2022,68.4,65,50.8
E12000007,London,E09000007,Camden,E09000007,Camden,E02000171,Mansfield Road & Park Hill Road,msoa,12/10/2022,72.7,68.7,55.5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000172,Kentish Town West,msoa,12/10/2022,65.4,60.5,43.7
E12000007,London,E09000007,Camden,E09000007,Camden,E02000173,Fitzjohns & Royal Free,msoa,12/10/2022,66.7,61.8,49.4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000174,Kentish Town East,msoa,12/10/2022,64.9,59.9,45.4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000175,West Hampstead,msoa,12/10/2022,65.7,61.9,48.1
E12000007,London,E09000007,Camden,E09000007,Camden,E02000176,Belsize Park,msoa,12/10/2022,69.8,65.7,53.8
E12000007,London,E09000007,Camden,E09000007,Camden,E02000177,Chalk Farm,msoa,12/10/2022,67.1,62.2,46.1
E12000007,London,E09000007,Camden,E09000007,Camden,E02000178,Kilburn Grange,msoa,12/10/2022,64.3,59.8,43.9
E12000007,London,E09000007,Camden,E09000007,Camden,E02000179,Adelaide Road,msoa,12/10/2022,67.7,62.6,46.4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000180,Camden Road South,msoa,12/10/2022,70.4,65.9,48.7
E12000007,London,E09000007,Camden,E09000007,Camden,E02000181,South Hampstead,msoa,12/10/2022,67.9,64.4,51.9
E12000007,London,E09000007,Camden,E09000007,Camden,E02000182,Swiss Cottage,msoa,12/10/2022,61.7,56.8,42.4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000183,Primrose Hill,msoa,12/10/2022,71.3,66.6,52.1
E12000007,London,E09000007,Camden,E09000007,Camden,E02000184,Camden Street & Elm Village,msoa,12/10/2022,63,56.1,39.3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000185,Kilburn East,msoa,12/10/2022,62.1,57.7,39.2
E12000007,London,E09000007,Camden,E09000007,Camden,E02000186,Camden Town & Mornington Crescent,msoa,12/10/2022,66.3,60.1,44.5
E12000007,London,E09000007,Camden,E09000007,Camden,E02000187,Somers Town,msoa,12/10/2022,65.1,57.6,37.7
E12000007,London,E09000007,Camden,E09000007,Camden,E02000188,Euston,msoa,12/10/2022,64.4,56.5,37.9
E12000007,London,E09000007,Camden,E09000007,Camden,E02000189,Gray's Inn Road,msoa,12/10/2022,55.7,47.8,32.7
E12000007,London,E09000007,Camden,E09000007,Camden,E02000190,Bloomsbury East,msoa,12/10/2022,54.5,45.6,33.3
E12000007,London,E09000007,Camden,E09000007,Camden,E02000191,Fitzrovia East & Bloomsbury West,msoa,12/10/2022,54.1,44.8,32.4
E12000007,London,E09000007,Camden,E09000007,Camden,E02000192,Hatton Garden & Theobalds Road,msoa,12/10/2022,64.4,57.8,41.1
E12000007,London,E09000007,Camden,E09000007,Camden,E02000193,"Holborn, St Giles & Bloomsbury South",msoa,12/10/2022,56.4,47.9,34.3
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000194,Crystal Palace Triangle,msoa,12/10/2022,67.7,63.5,48.9
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000195,Upper Norwood,msoa,12/10/2022,67.9,63.9,46.2
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000196,Norbury East,msoa,12/10/2022,63.4,59.4,39.5
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000197,Norbury West,msoa,12/10/2022,62.6,58.6,38.9
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000198,Thornton Heath North West,msoa,12/10/2022,59.9,55.5,35.7
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000199,Thornton Heath North East,msoa,12/10/2022,60.9,56.6,36.5
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000200,South Norwood Hill,msoa,12/10/2022,67.9,64.6,46.2
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000201,South Norwood Central,msoa,12/10/2022,60.2,55.9,36.1
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000202,Thornton Heath West,msoa,12/10/2022,62.7,58.2,36.5
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000203,Thornton Heath Central,msoa,12/10/2022,59,54.8,33.9
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000204,West Thornton North,msoa,12/10/2022,62,57.4,35.5
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000206,Selhurst North,msoa,12/10/2022,59.3,54.8,33.7
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000207,Woodside & Ashburton,msoa,12/10/2022,63.7,59.7,39.2
E12000007,London,E09000008,Croydon,E09000008,Croydon,E02000208,University Hospital & Queen's Road,msoa,12/10/2022,58.4,52.8,31.9
